,Organism,Protein Length
116,Organism1,190
117,Organism1,219
118,Organism1,150
119,Organism1,67
120,Organism1,199
121,Organism1,662
122,Organism1,74
123,Organism1,86
124,Organism1,321
125,Organism1,512
126,Organism1,221
127,Organism1,158
128,Organism1,114
129,Organism1,100
130,Organism1,139
131,Organism1,193
132,Organism1,270
133,Organism1,353
134,Organism1,82
135,Organism1,152
136,Organism1,135
137,Organism1,455
138,Organism1,188
139,Organism1,329
140,Organism1,134
141,Organism1,186
142,Organism1,144
143,Organism1,438
144,Organism1,194
145,Organism1,247
146,Organism1,102
147,Organism1,150
148,Organism1,264
149,Organism1,65
150,Organism1,321
151,Organism1,338
152,Organism1,178
153,Organism1,153
154,Organism1,407
155,Organism1,49
156,Organism1,114
157,Organism1,47
158,Organism1,103
159,Organism1,314
160,Organism1,195
161,Organism1,266
162,Organism1,76
163,Organism1,503
164,Organism1,160
165,Organism1,68
166,Organism1,56
167,Organism1,283
168,Organism1,80
169,Organism1,130
170,Organism1,296
171,Organism1,219
172,Organism1,107
173,Organism1,320
174,Organism1,314
175,Organism1,126
176,Organism1,116
177,Organism1,263
178,Organism1,536
179,Organism1,109
180,Organism1,88
181,Organism1,502
182,Organism1,75
183,Organism1,190
184,Organism1,239
185,Organism1,64
186,Organism1,55
187,Organism1,462
188,Organism1,268
189,Organism1,468
190,Organism1,87
191,Organism1,134
192,Organism1,218
193,Organism1,114
194,Organism1,61
195,Organism1,93
196,Organism1,83
197,Organism1,114
198,Organism1,139
199,Organism1,330
200,Organism1,214
201,Organism1,131
202,Organism1,493
203,Organism1,374
204,Organism1,94
205,Organism1,313
206,Organism1,91
207,Organism1,82
208,Organism1,38
209,Organism1,350
210,Organism1,74
211,Organism1,78
212,Organism1,330
213,Organism1,274
214,Organism1,47
215,Organism1,135
216,Organism1,329
217,Organism1,149
218,Organism1,81
219,Organism1,42
220,Organism1,463
221,Organism1,299
222,Organism1,259
223,Organism1,61
224,Organism1,206
225,Organism1,165
226,Organism1,92
227,Organism1,44
228,Organism1,310
229,Organism1,317
230,Organism1,377
231,Organism1,62
232,Organism1,402
233,Organism1,184
234,Organism1,170
235,Organism1,134
236,Organism1,146
237,Organism1,484
238,Organism1,158
239,Organism1,351
240,Organism1,302
241,Organism1,82
242,Organism1,371
243,Organism1,267
244,Organism1,393
245,Organism1,71
246,Organism1,536
247,Organism1,101
248,Organism1,195
249,Organism1,533
250,Organism1,67
251,Organism1,237
252,Organism1,729
253,Organism1,323
254,Organism1,328
255,Organism1,60
256,Organism1,42
257,Organism1,805
258,Organism1,46
259,Organism1,226
260,Organism1,323
261,Organism1,373
262,Organism1,176
263,Organism1,106
264,Organism1,214
265,Organism1,320
266,Organism1,167
267,Organism1,44
268,Organism1,393
269,Organism1,296
270,Organism1,189
271,Organism1,257
272,Organism1,253
273,Organism1,218
274,Organism1,184
275,Organism1,81
276,Organism1,180
277,Organism1,352
278,Organism1,139
279,Organism1,57
280,Organism1,107
281,Organism1,451
282,Organism1,42
283,Organism1,135
284,Organism1,168
285,Organism1,85
286,Organism1,265
287,Organism1,41
288,Organism1,253
289,Organism1,368
290,Organism1,290
291,Organism1,158
292,Organism1,48
293,Organism1,118
294,Organism1,119
295,Organism1,334
296,Organism1,61
297,Organism1,59
298,Organism1,144
299,Organism1,51
300,Organism1,413
301,Organism1,39
302,Organism1,63
303,Organism1,289
304,Organism1,424
305,Organism1,666
306,Organism1,446
307,Organism1,676
308,Organism1,92
309,Organism1,152
310,Organism1,874
311,Organism1,70
312,Organism1,54
313,Organism1,110
314,Organism1,317
315,Organism1,98
316,Organism1,233
317,Organism1,161
318,Organism1,112
319,Organism1,174
320,Organism1,93
321,Organism1,174
322,Organism1,289
323,Organism1,63
324,Organism1,58
325,Organism1,86
326,Organism1,340
327,Organism1,263
328,Organism1,148
329,Organism1,45
330,Organism1,199
331,Organism1,67
332,Organism1,98
333,Organism1,92
334,Organism1,118
335,Organism1,183
336,Organism1,311
337,Organism1,113
338,Organism1,256
339,Organism1,92
340,Organism1,43
341,Organism1,233
342,Organism1,221
343,Organism1,207
344,Organism1,131
345,Organism1,54
346,Organism1,92
347,Organism1,271
348,Organism1,217
349,Organism1,201
350,Organism1,190
351,Organism1,115
352,Organism1,154
353,Organism1,171
354,Organism1,113
355,Organism1,381
356,Organism1,428
357,Organism1,128
358,Organism1,97
359,Organism1,110
360,Organism1,191
361,Organism1,454
362,Organism1,38
363,Organism1,339
364,Organism1,67
365,Organism1,154
366,Organism1,44
367,Organism1,45
368,Organism1,447
369,Organism1,305
370,Organism1,220
371,Organism1,689
372,Organism1,270
373,Organism1,113
374,Organism1,130
375,Organism1,588
376,Organism1,75
377,Organism1,341
378,Organism1,53
379,Organism1,483
380,Organism1,395
381,Organism1,208
382,Organism1,201
383,Organism1,416
384,Organism1,397
385,Organism1,291
386,Organism1,258
387,Organism1,255
388,Organism1,122
389,Organism1,154
390,Organism1,99
391,Organism1,71
392,Organism1,39
393,Organism1,191
394,Organism1,123
395,Organism1,42
396,Organism1,126
397,Organism1,468
398,Organism1,377
399,Organism1,96
400,Organism1,282
401,Organism1,291
402,Organism1,355
403,Organism1,68
404,Organism1,188
405,Organism1,256
406,Organism1,154
407,Organism1,131
408,Organism1,169
409,Organism1,488
410,Organism1,497
411,Organism1,134
412,Organism1,146
413,Organism1,78
414,Organism1,113
415,Organism1,159
416,Organism1,555
417,Organism1,93
418,Organism1,109
419,Organism1,158
420,Organism1,275
421,Organism1,62
422,Organism1,122
423,Organism1,315
424,Organism1,322
425,Organism1,85
426,Organism1,353
427,Organism1,57
428,Organism1,431
429,Organism1,312
430,Organism1,240
431,Organism1,118
432,Organism1,139
433,Organism1,53
434,Organism1,559
435,Organism1,409
436,Organism1,390
437,Organism1,309
438,Organism1,183
439,Organism1,128
440,Organism1,96
441,Organism1,325
442,Organism1,451
443,Organism1,387
444,Organism1,76
445,Organism1,161
446,Organism1,232
447,Organism1,116
448,Organism1,621
449,Organism1,102
450,Organism1,301
451,Organism1,242
452,Organism1,195
453,Organism1,170
454,Organism1,111
455,Organism1,134
456,Organism1,194
457,Organism1,45
458,Organism1,230
459,Organism1,103
460,Organism1,91
461,Organism1,53
462,Organism1,317
463,Organism1,326
464,Organism1,323
465,Organism1,47
466,Organism1,241
467,Organism1,452
468,Organism1,106
469,Organism1,339
470,Organism1,339
471,Organism1,159
472,Organism1,106
473,Organism1,55
474,Organism1,202
475,Organism1,387
476,Organism1,126
477,Organism1,369
478,Organism1,497
479,Organism1,49
480,Organism1,276
481,Organism1,356
482,Organism1,83
483,Organism1,758
484,Organism1,134
485,Organism1,231
486,Organism1,109
487,Organism1,81
488,Organism1,135
489,Organism1,295
490,Organism1,67
491,Organism1,155
492,Organism1,72
493,Organism1,323
494,Organism1,76
495,Organism1,244
496,Organism1,603
497,Organism1,569
498,Organism1,225
499,Organism1,458
500,Organism1,388
501,Organism1,195
502,Organism1,316
503,Organism1,261
504,Organism1,181
505,Organism1,129
506,Organism1,372
507,Organism1,250
508,Organism1,40
509,Organism1,367
510,Organism1,363
511,Organism1,433
512,Organism1,43
513,Organism1,85
514,Organism1,529
515,Organism1,260
516,Organism1,140
517,Organism1,75
518,Organism1,495
519,Organism1,759
520,Organism1,312
521,Organism1,559
522,Organism1,348
523,Organism1,289
524,Organism1,214
525,Organism1,466
526,Organism1,197
527,Organism1,259
528,Organism1,102
529,Organism1,107
530,Organism1,241
531,Organism1,213
532,Organism1,249
533,Organism1,239
534,Organism1,122
535,Organism1,190
536,Organism1,158
537,Organism1,361
538,Organism1,425
539,Organism1,61
540,Organism1,64
541,Organism1,121
542,Organism1,248
543,Organism1,346
544,Organism1,155
545,Organism1,423
546,Organism1,90
547,Organism1,164
548,Organism1,200
549,Organism1,41
550,Organism1,319
551,Organism1,306
552,Organism1,67
553,Organism1,285
554,Organism1,124
555,Organism1,236
556,Organism1,56
557,Organism1,225
558,Organism1,676
559,Organism1,221
560,Organism1,57
561,Organism1,271
562,Organism1,295
563,Organism1,175
564,Organism1,263
565,Organism1,122
566,Organism1,273
567,Organism1,188
568,Organism1,70
569,Organism1,222
570,Organism1,73
571,Organism1,222
572,Organism1,117
573,Organism1,453
574,Organism1,165
575,Organism1,1320
576,Organism1,248
577,Organism1,259
578,Organism1,222
579,Organism1,455
580,Organism1,240
581,Organism1,47
582,Organism1,38
583,Organism1,156
584,Organism1,148
585,Organism1,232
586,Organism1,179
587,Organism1,149
588,Organism1,159
589,Organism1,221
590,Organism1,86
591,Organism1,253
592,Organism1,250
593,Organism1,91
594,Organism1,90
595,Organism1,320
596,Organism1,190
597,Organism1,44
598,Organism1,39
599,Organism1,133
600,Organism1,41
601,Organism1,112
602,Organism1,48
603,Organism1,272
604,Organism1,109
605,Organism1,151
606,Organism1,361
607,Organism1,857
608,Organism1,218
609,Organism1,93
610,Organism1,332
611,Organism1,68
612,Organism1,296
613,Organism1,171
614,Organism1,307
615,Organism1,198
616,Organism1,233
617,Organism1,80
618,Organism1,345
619,Organism1,226
620,Organism1,46
621,Organism1,39
622,Organism1,41
623,Organism1,38
624,Organism1,37
625,Organism1,186
626,Organism1,241
627,Organism1,113
628,Organism1,265
629,Organism1,51
630,Organism1,41
631,Organism1,168
632,Organism1,117
633,Organism1,72
634,Organism1,78
635,Organism1,249
636,Organism1,193
637,Organism1,37
638,Organism1,183
639,Organism1,285
640,Organism1,871
641,Organism1,142
642,Organism1,95
643,Organism1,297
644,Organism1,267
645,Organism1,75
646,Organism1,101
647,Organism1,72
648,Organism1,219
649,Organism1,114
650,Organism1,369
651,Organism1,111
652,Organism1,376
653,Organism1,67
654,Organism1,257
655,Organism1,138
656,Organism1,159
657,Organism1,328
658,Organism1,177
659,Organism1,77
660,Organism1,86
661,Organism1,188
662,Organism1,102
663,Organism1,97
664,Organism1,607
665,Organism1,277
666,Organism1,222
667,Organism1,178
668,Organism1,491
669,Organism1,310
670,Organism1,288
671,Organism1,158
672,Organism1,331
673,Organism1,43
674,Organism1,235
675,Organism1,482
676,Organism1,148
677,Organism1,213
678,Organism1,336
679,Organism1,41
680,Organism1,129
681,Organism1,314
682,Organism1,91
683,Organism1,114
684,Organism1,308
685,Organism1,73
686,Organism1,43
687,Organism1,54
688,Organism1,140
689,Organism1,236
690,Organism1,274
691,Organism1,142
692,Organism1,549
693,Organism1,93
694,Organism1,187
695,Organism1,56
696,Organism1,195
697,Organism1,176
698,Organism1,206
699,Organism1,387
700,Organism1,189
701,Organism1,169
702,Organism1,218
703,Organism1,645
704,Organism1,307
705,Organism1,149
706,Organism1,146
707,Organism1,317
708,Organism1,439
709,Organism1,156
710,Organism1,203
711,Organism1,58
712,Organism1,93
713,Organism1,125
714,Organism1,98
715,Organism1,119
716,Organism1,149
717,Organism1,306
718,Organism1,101
719,Organism1,427
720,Organism1,121
721,Organism1,221
722,Organism1,232
723,Organism1,195
724,Organism1,194
725,Organism1,266
726,Organism1,203
727,Organism1,836
728,Organism1,301
729,Organism1,342
730,Organism1,102
731,Organism1,75
732,Organism1,37
733,Organism1,282
734,Organism1,48
735,Organism1,358
736,Organism1,391
737,Organism1,48
738,Organism1,114
739,Organism1,73
740,Organism1,60
741,Organism1,272
742,Organism1,349
743,Organism1,256
744,Organism1,205
745,Organism1,42
746,Organism1,280
747,Organism1,158
748,Organism1,164
749,Organism1,262
750,Organism1,67
751,Organism1,428
752,Organism1,127
753,Organism1,109
754,Organism1,109
755,Organism1,480
756,Organism1,81
757,Organism1,236
758,Organism1,42
759,Organism1,47
760,Organism1,109
761,Organism1,67
762,Organism1,118
763,Organism1,284
764,Organism1,43
765,Organism1,206
766,Organism1,615
767,Organism1,169
768,Organism1,286
769,Organism1,90
770,Organism1,72
771,Organism1,110
772,Organism1,80
773,Organism1,201
774,Organism1,698
775,Organism1,44
776,Organism1,311
777,Organism1,332
778,Organism1,187
779,Organism1,55
780,Organism1,248
781,Organism1,152
782,Organism1,192
783,Organism1,109
784,Organism1,62
785,Organism1,171
786,Organism1,365
787,Organism1,52
788,Organism1,321
789,Organism1,514
790,Organism1,407
791,Organism1,174
792,Organism1,468
793,Organism1,255
794,Organism1,92
795,Organism1,293
796,Organism1,429
797,Organism1,216
798,Organism1,170
799,Organism1,102
800,Organism1,338
801,Organism1,72
802,Organism1,460
803,Organism1,59
804,Organism1,471
805,Organism1,90
806,Organism1,103
807,Organism1,45
808,Organism1,318
809,Organism1,41
810,Organism1,63
811,Organism1,130
812,Organism1,180
813,Organism1,90
814,Organism1,292
815,Organism1,57
816,Organism1,391
817,Organism1,40
818,Organism1,78
819,Organism1,719
820,Organism1,53
821,Organism1,572
822,Organism1,388
823,Organism1,726
824,Organism1,461
825,Organism1,233
826,Organism1,72
827,Organism1,305
828,Organism1,273
829,Organism1,91
830,Organism1,188
831,Organism1,199
832,Organism1,67
833,Organism1,184
834,Organism1,333
835,Organism1,59
836,Organism1,158
837,Organism1,388
838,Organism1,50
839,Organism1,329
840,Organism1,728
841,Organism1,393
842,Organism1,314
843,Organism1,86
844,Organism1,229
845,Organism1,167
846,Organism1,157
847,Organism1,171
848,Organism1,397
849,Organism1,52
850,Organism1,93
851,Organism1,248
852,Organism1,493
853,Organism1,226
854,Organism1,214
855,Organism1,155
856,Organism1,490
857,Organism1,446
858,Organism1,495
859,Organism1,1283
860,Organism1,239
861,Organism1,248
862,Organism1,128
863,Organism1,376
864,Organism1,410
865,Organism1,351
866,Organism1,989
867,Organism1,286
868,Organism1,397
869,Organism1,630
870,Organism1,83
871,Organism1,38
872,Organism1,298
873,Organism1,932
874,Organism1,305
875,Organism1,198
876,Organism1,240
877,Organism1,230
878,Organism1,40
879,Organism1,39
880,Organism1,354
881,Organism1,155
882,Organism1,211
883,Organism1,85
884,Organism1,48
885,Organism1,143
886,Organism1,184
887,Organism1,123
888,Organism1,714
889,Organism1,567
890,Organism1,74
891,Organism1,257
892,Organism1,98
893,Organism1,177
894,Organism1,205
895,Organism1,105
896,Organism1,366
897,Organism1,41
898,Organism1,562
899,Organism1,95
900,Organism1,39
901,Organism1,335
902,Organism1,764
903,Organism1,172
904,Organism1,59
905,Organism1,388
906,Organism1,559
907,Organism1,66
908,Organism1,291
909,Organism1,365
910,Organism1,58
911,Organism1,59
912,Organism1,87
913,Organism1,37
914,Organism1,278
915,Organism1,178
916,Organism1,401
917,Organism1,245
918,Organism1,175
919,Organism1,90
920,Organism1,192
921,Organism1,56
922,Organism1,287
923,Organism1,693
924,Organism1,60
925,Organism1,186
926,Organism1,453
927,Organism1,667
928,Organism1,307
929,Organism1,385
930,Organism1,142
931,Organism1,362
932,Organism1,397
933,Organism1,404
934,Organism1,207
935,Organism1,549
936,Organism1,148
937,Organism1,439
938,Organism1,45
939,Organism1,52
940,Organism1,306
941,Organism1,149
942,Organism1,268
943,Organism1,559
944,Organism1,136
945,Organism1,378
946,Organism1,261
947,Organism1,76
948,Organism1,219
949,Organism1,634
950,Organism1,175
951,Organism1,447
952,Organism1,94
953,Organism1,543
954,Organism1,440
955,Organism1,176
956,Organism1,248
957,Organism1,251
958,Organism1,153
959,Organism1,74
960,Organism1,389
961,Organism1,783
962,Organism1,240
963,Organism1,271
964,Organism1,41
965,Organism1,55
966,Organism1,75
967,Organism1,294
968,Organism1,83
969,Organism1,299
970,Organism1,106
971,Organism1,151
972,Organism1,119
973,Organism1,82
974,Organism1,115
975,Organism1,171
976,Organism1,443
977,Organism1,193
978,Organism1,412
979,Organism1,361
980,Organism1,413
981,Organism1,778
982,Organism1,658
983,Organism1,364
984,Organism1,80
985,Organism1,85
986,Organism1,250
987,Organism1,308
988,Organism1,190
989,Organism1,77
990,Organism1,132
991,Organism1,258
992,Organism1,38
993,Organism1,360
994,Organism1,48
995,Organism1,43
996,Organism1,57
997,Organism1,370
998,Organism1,86
999,Organism1,102
1000,Organism1,180
1001,Organism1,161
1002,Organism1,392
1003,Organism1,298
1004,Organism1,86
1005,Organism1,83
1006,Organism1,79
1007,Organism1,341
1008,Organism1,205
1009,Organism1,185
1010,Organism1,232
1011,Organism1,197
1012,Organism1,529
1013,Organism1,109
1014,Organism1,41
1015,Organism1,73
1016,Organism1,243
1017,Organism1,225
1018,Organism1,202
1019,Organism1,399
1020,Organism1,200
1021,Organism1,47
1022,Organism1,310
1023,Organism1,143
1024,Organism1,86
1025,Organism1,159
1026,Organism1,88
1027,Organism1,111
1028,Organism1,483
1029,Organism1,239
1030,Organism1,269
1031,Organism1,124
1032,Organism1,60
1033,Organism1,54
1034,Organism1,324
1035,Organism1,147
1036,Organism1,61
1037,Organism1,186
1038,Organism1,91
1039,Organism1,61
1040,Organism1,119
1041,Organism1,88
1042,Organism1,188
1043,Organism1,216
1044,Organism1,399
1045,Organism1,71
1046,Organism1,113
1047,Organism1,471
1048,Organism1,436
1049,Organism1,94
1050,Organism1,597
1051,Organism1,77
1052,Organism1,198
1053,Organism1,104
1054,Organism1,39
1055,Organism1,139
1056,Organism1,108
1057,Organism1,135
1058,Organism1,220
1059,Organism1,41
1060,Organism1,150
1061,Organism1,57
1062,Organism1,115
1063,Organism1,38
1064,Organism1,439
1065,Organism1,513
1066,Organism1,137
1067,Organism1,85
1068,Organism1,56
1069,Organism1,157
1070,Organism1,921
1071,Organism1,44
1072,Organism1,59
1073,Organism1,153
1074,Organism1,769
1075,Organism1,70
1076,Organism1,152
1077,Organism1,233
1078,Organism1,449
1079,Organism1,152
1080,Organism1,169
1081,Organism1,156
1082,Organism1,59
1083,Organism1,176
1084,Organism1,156
1085,Organism1,96
1086,Organism1,243
1087,Organism1,261
1088,Organism1,82
1089,Organism1,255
1090,Organism1,134
1091,Organism1,277
1092,Organism1,285
1093,Organism1,353
1094,Organism1,548
1095,Organism1,287
1096,Organism1,90
1097,Organism1,38
1098,Organism1,140
1099,Organism1,306
1100,Organism1,263
1101,Organism1,201
1102,Organism1,411
1103,Organism1,436
1104,Organism1,240
1105,Organism1,152
1106,Organism1,65
1107,Organism1,704
1108,Organism1,285
1109,Organism1,176
1110,Organism1,54
1111,Organism1,267
1112,Organism1,681
1113,Organism1,241
1114,Organism1,247
1115,Organism1,320
1116,Organism1,242
1117,Organism1,199
1118,Organism1,90
1119,Organism1,48
1120,Organism1,69
1121,Organism1,60
1122,Organism1,157
1123,Organism1,167
1124,Organism1,101
1125,Organism1,79
1126,Organism1,140
1127,Organism1,163
1128,Organism1,134
1129,Organism1,198
1130,Organism1,309
1131,Organism1,809
1132,Organism1,520
1133,Organism1,215
1134,Organism1,201
1135,Organism1,396
1136,Organism1,69
1137,Organism1,96
1138,Organism1,63
1139,Organism1,90
1140,Organism1,41
1141,Organism1,371
1142,Organism1,213
1143,Organism1,233
1144,Organism1,141
1145,Organism1,335
1146,Organism1,56
1147,Organism1,56
1148,Organism1,62
1149,Organism1,366
1150,Organism1,54
1151,Organism1,283
1152,Organism1,441
1153,Organism1,250
1154,Organism1,567
1155,Organism1,153
1156,Organism1,121
1157,Organism1,366
1158,Organism1,144
1159,Organism1,432
1160,Organism1,211
1161,Organism1,100
1162,Organism1,108
1163,Organism1,178
1164,Organism1,262
1165,Organism1,194
1166,Organism1,271
1167,Organism1,437
1168,Organism1,74
1169,Organism1,79
1170,Organism1,73
1171,Organism1,142
1172,Organism1,87
1173,Organism1,107
1174,Organism1,301
1175,Organism1,76
1176,Organism1,284
1177,Organism1,311
1178,Organism1,69
1179,Organism1,231
1180,Organism1,176
1181,Organism1,120
1182,Organism1,230
1183,Organism1,103
1184,Organism1,198
1185,Organism1,50
1186,Organism1,151
1187,Organism1,37
1188,Organism1,92
1189,Organism1,239
1190,Organism1,66
1191,Organism1,45
1192,Organism1,263
1193,Organism1,37
1194,Organism1,571
1195,Organism1,293
1196,Organism1,542
1197,Organism1,106
1198,Organism1,302
1199,Organism1,50
1200,Organism1,143
1201,Organism1,83
1202,Organism1,180
1203,Organism1,155
1204,Organism1,445
1205,Organism1,124
1206,Organism1,149
1207,Organism1,134
1208,Organism1,46
1209,Organism1,151
1210,Organism1,100
1211,Organism1,81
1212,Organism1,151
1213,Organism1,324
1214,Organism1,167
1215,Organism1,393
1216,Organism1,269
1217,Organism1,94
1218,Organism1,399
1219,Organism1,137
1220,Organism1,386
1221,Organism1,487
1222,Organism1,297
1223,Organism1,333
1224,Organism1,172
1225,Organism1,178
1226,Organism1,173
1227,Organism1,43
1228,Organism1,306
1229,Organism1,184
1230,Organism1,145
1231,Organism1,63
1232,Organism1,227
1233,Organism1,254
1234,Organism1,125
1235,Organism1,673
1236,Organism1,106
1237,Organism1,186
1238,Organism1,149
1239,Organism1,227
1240,Organism1,316
1241,Organism1,126
1242,Organism1,447
1243,Organism1,207
1244,Organism1,118
1245,Organism1,282
1246,Organism1,239
1247,Organism1,92
1248,Organism1,162
1249,Organism1,453
1250,Organism1,270
1251,Organism1,38
1252,Organism1,175
1253,Organism1,162
1254,Organism1,51
1255,Organism1,334
1256,Organism1,46
1257,Organism1,284
1258,Organism1,51
1259,Organism1,110
1260,Organism1,585
1261,Organism1,108
1262,Organism1,121
1263,Organism1,112
1264,Organism1,428
1265,Organism1,341
1266,Organism1,118
1267,Organism1,427
1268,Organism1,126
1269,Organism1,930
1270,Organism1,41
1271,Organism1,285
1272,Organism1,216
1273,Organism1,176
1274,Organism1,350
1275,Organism1,213
1276,Organism1,91
1277,Organism1,38
1278,Organism1,84
1279,Organism1,472
1280,Organism1,139
1281,Organism1,268
1282,Organism1,265
1283,Organism1,122
1284,Organism1,326
1285,Organism1,69
1286,Organism1,347
1287,Organism1,271
1288,Organism1,410
1289,Organism1,96
1290,Organism1,377
1291,Organism1,240
1292,Organism1,114
1293,Organism1,97
1294,Organism1,239
1295,Organism1,48
1296,Organism1,278
1297,Organism1,113
1298,Organism1,142
1299,Organism1,268
1300,Organism1,176
1301,Organism1,140
1302,Organism1,404
1303,Organism1,223
1304,Organism1,79
1305,Organism1,288
1306,Organism1,374
1307,Organism1,344
1308,Organism1,41
1309,Organism1,55
1310,Organism1,231
1311,Organism1,342
1312,Organism1,311
1313,Organism1,147
1314,Organism1,256
1315,Organism1,111
1316,Organism1,42
1317,Organism1,51
1318,Organism1,112
1319,Organism1,47
1320,Organism1,131
1321,Organism1,112
1322,Organism1,1031
1323,Organism1,80
1324,Organism1,289
1325,Organism1,140
1326,Organism1,50
1327,Organism1,246
1328,Organism1,54
1329,Organism1,171
1330,Organism1,56
1331,Organism1,39
1332,Organism1,447
1333,Organism1,281
1334,Organism1,71
1335,Organism1,59
1336,Organism1,46
1337,Organism1,493
1338,Organism1,104
1339,Organism1,231
1340,Organism1,143
1341,Organism1,90
1342,Organism1,70
1343,Organism1,267
1344,Organism1,404
1345,Organism1,877
1346,Organism1,141
1347,Organism1,81
1348,Organism1,239
1349,Organism1,187
1350,Organism1,191
1351,Organism1,161
1352,Organism1,63
1353,Organism1,138
1354,Organism1,139
1355,Organism1,516
1356,Organism1,85
1357,Organism1,169
1358,Organism1,225
1359,Organism1,186
1360,Organism1,220
1361,Organism1,174
1362,Organism1,248
1363,Organism1,75
1364,Organism1,211
1365,Organism1,100
1366,Organism1,447
1367,Organism1,293
1368,Organism1,110
1369,Organism1,367
1370,Organism1,101
1371,Organism1,262
1372,Organism1,133
1373,Organism1,53
1374,Organism1,355
1375,Organism1,478
1376,Organism1,49
1377,Organism1,242
1378,Organism1,291
1379,Organism1,592
1380,Organism1,52
1381,Organism1,540
1382,Organism1,48
1383,Organism1,54
1384,Organism1,374
1385,Organism1,128
1386,Organism1,40
1387,Organism1,107
1388,Organism1,632
1389,Organism1,674
1390,Organism1,90
1391,Organism1,267
1392,Organism1,852
1393,Organism1,118
1394,Organism1,108
1395,Organism1,39
1396,Organism1,438
1397,Organism1,71
1398,Organism1,76
1399,Organism1,133
1400,Organism1,366
1401,Organism1,147
1402,Organism1,53
1403,Organism1,77
1404,Organism1,203
1405,Organism1,122
1406,Organism1,134
1407,Organism1,49
1408,Organism1,346
1409,Organism1,259
1410,Organism1,37
1411,Organism1,163
1412,Organism1,186
1413,Organism1,119
1414,Organism1,620
1415,Organism1,299
1416,Organism1,156
1417,Organism1,359
1418,Organism1,115
1419,Organism1,79
1420,Organism1,106
1421,Organism1,77
1422,Organism1,478
1423,Organism1,69
1424,Organism1,157
1425,Organism1,120
1426,Organism1,191
1427,Organism1,209
1428,Organism1,65
1429,Organism1,42
1430,Organism1,44
1431,Organism1,146
1432,Organism1,388
1433,Organism1,272
1434,Organism1,398
1435,Organism1,81
1436,Organism1,502
1437,Organism1,40
1438,Organism1,71
1439,Organism1,196
1440,Organism1,382
1441,Organism1,509
1442,Organism1,86
1443,Organism1,42
1444,Organism1,455
1445,Organism1,252
1446,Organism1,196
1447,Organism1,392
1448,Organism1,63
1449,Organism1,224
1450,Organism1,47
1451,Organism1,39
1452,Organism1,39
1453,Organism1,140
1454,Organism1,85
1455,Organism1,99
1456,Organism1,551
1457,Organism1,1273
1458,Organism1,100
1459,Organism1,72
1460,Organism1,316
1461,Organism1,295
1462,Organism1,40
1463,Organism1,94
1464,Organism1,236
1465,Organism1,223
1466,Organism1,241
1467,Organism1,216
1468,Organism1,338
1469,Organism1,301
1470,Organism1,171
1471,Organism1,349
1472,Organism1,50
1473,Organism1,67
1474,Organism1,44
1475,Organism1,446
1476,Organism1,668
1477,Organism1,155
1478,Organism1,165
1479,Organism1,193
1480,Organism1,457
1481,Organism1,253
1482,Organism1,261
1483,Organism1,606
1484,Organism1,50
1485,Organism1,84
1486,Organism1,90
1487,Organism1,573
1488,Organism1,260
1489,Organism1,78
1490,Organism1,462
1491,Organism1,193
1492,Organism1,361
1493,Organism1,103
1494,Organism1,421
1495,Organism1,117
1496,Organism1,185
